Date,Sentiment_Score
2023-11-10,0.20855846153846155
2023-11-11,0.1466
2023-11-12,-0.18378333333333333
2023-11-13,0.17721041666666668
2023-11-14,0.01624888888888889
2023-11-15,0.021616666666666663
2023-11-16,0.07969761904761904
2023-11-17,0.10588536585365854
2023-11-18,-0.007978571428571436
2023-11-19,0.17534666666666665
2023-11-20,0.14293846153846154
2023-11-21,0.017652173913043474
2023-11-22,0.10981428571428571
2023-11-23,0.07077605633802816
2023-11-24,0.15128414634146342
2023-11-25,0.06768620689655172
2023-11-26,0.1517388888888889
2023-11-27,0.04611702127659575
2023-11-28,0.08637808219178082
2023-12-01,0.13550125
2023-12-02,0.04761739130434781
2023-12-03,0.154825
2023-12-04,0.05157213114754099
2023-12-05,0.10448641975308642
2023-12-06,0.12444264705882352
2023-12-07,0.09735857142857143
2023-12-08,0.1745494623655914
2023-12-09,0.12104848484848484
2023-12-10,0.09392380952380952
2023-12-11,0.14413880597014925
2023-12-12,0.06691724137931034
2023-12-13,0.07758541666666667
2023-12-14,0.11962249999999999
2023-12-15,0.06542972972972973
2023-12-16,0.11119333333333332
2023-12-17,0.18727586206896552
2023-12-18,0.14696575342465754
2023-12-19,0.12195425531914893
2023-12-20,0.07064666666666666
2023-12-21,0.10988539325842696
2023-12-22,0.12279404761904762
2023-12-23,-0.027231034482758616
2023-12-24,0.2500117647058824
2023-12-25,0.10854705882352941
2023-12-26,0.016794117647058827
2023-12-27,0.1463513157894737
2023-12-28,0.07528024691358025
2023-12-29,0.07784861111111112
2024-01-01,0.029637931034482753
2024-01-02,0.08538048780487804
2024-01-03,0.09306091954022988
2024-01-04,0.07706874999999999
2024-01-05,0.12047662337662338
2024-01-06,-0.039024242424242434
2024-01-07,0.071064
2024-01-08,0.11282784810126584
2024-01-09,0.02777945205479452
2024-01-10,0.17785
2024-01-11,0.12564158415841584
2024-01-12,0.1251578947368421
2024-01-13,0.10389428571428572
2024-01-14,-0.1216391304347826
2024-01-15,0.12422124999999999
2024-01-16,0.08205
2024-01-17,0.05298048780487805
2024-01-18,0.05277428571428571
2024-01-19,0.15239484536082473
2024-01-20,0.13184303797468352
2024-01-21,0.19943461538461538
2024-01-22,0.179675
2024-01-23,0.14008924731182795
2024-01-24,0.20273457943925233
2024-01-25,0.13595000000000002
2024-01-26,0.022304761904761907
2024-01-27,0.17750526315789472
2024-01-28,0.13662222222222223
2024-01-29,0.05528660714285715
2024-02-01,0.08664296875
2024-02-02,0.18188504672897196
2024-02-03,0.05748095238095238
2024-02-04,0.09351724137931035
2024-02-05,0.08606547619047619
2024-02-06,0.1314078947368421
2024-02-07,0.21402680412371133
2024-02-08,0.0765111111111111
2024-02-09,0.08996195652173913
2024-02-10,0.1211793103448276
2024-02-11,0.2242392857142857
2024-02-12,0.12106103896103895
2024-02-13,0.12176164383561644
2024-02-14,0.06322530120481928
2024-02-15,0.12318153846153847
2024-02-16,0.07280769230769231
2024-02-17,0.05947058823529412
2024-02-18,0.13658888888888887
2024-02-19,0.147158
2024-02-20,0.058048051948051946
2024-02-21,0.04928266666666667
2024-02-22,0.0634406779661017
2024-02-23,0.11823999999999998
2024-02-24,0.004671428571428572
2024-02-25,0.11296153846153846
2024-02-26,0.06787721518987343
2024-02-27,0.015236708860759493
2024-03-01,0.08778552631578948
2024-03-02,0.0533375
2024-03-03,0.17223333333333335
2024-03-04,0.10111846153846155
2024-03-05,0.09216794871794871
2024-03-06,0.12887045454545454
2024-03-07,0.1285315789473684
2024-03-08,0.10011162790697675
2024-03-09,0.07199
2024-03-10,0.026658823529411763
2024-03-11,0.12960153846153846
2024-03-12,0.1235320987654321
2024-03-13,0.07867111111111111
2024-03-14,0.09082463768115942
2024-03-15,0.09757500000000001
2024-03-16,0.11882142857142856
2024-03-17,0.01313333333333333
2024-03-18,0.15420727272727275
2024-03-19,0.07495942028985507
2024-03-20,0.16448703703703704
2024-03-21,0.08090204081632653
2024-03-22,0.1132608695652174
2024-03-23,0.29424375
2024-03-24,0.04313
2024-03-25,0.07830999999999999
2024-03-26,0.11198250000000001
2024-03-27,0.08845797101449275
2024-03-28,0.12933448275862067
2024-03-29,0.04643823529411765
2024-04-01,0.07843428571428572
2024-04-02,0.10145714285714286
2024-04-03,0.058072413793103454
2024-04-04,0.06893802816901408
2024-04-05,0.10260227272727272
2024-04-06,0.14523684210526316
